region;Time;Total;Petroleum products;Liquefied petroleum gases;Diesel;Natural Gas;Electricity;Alternative Energy;Petrol_excluding hybrids  ;Hybrid electric-petrol;Plug-in hybrid petrol-electric;Diesel_excluding hybrids;Hybrid diesel-electric;Plug-in hybrid diesel-electric;Hydrogen and fuel cells ;Bioethanol;Biodiesel;Bi-fuel;Other
Macedonia;2015;383833;209122;10896;163038;NA;33;11673;209122;NA;NA;163038;NA;NA;NA;NA;NA;NA;744
Macedonia;2016;394934;202779;11600;180394;NA;35;11761;202779;NA;NA;180394;NA;NA;NA;NA;NA;NA;126
Macedonia;2017;403316;197880;11445;192816;NA;37;13070;197880;NA;NA;NA;NA;NA;NA;NA;NA;NA;1588
Macedonia;2018;415062;194384;11706;208805;NA;44;11862;194384;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Turkey;2012;8648880;2681050;3569100;2101210;50;230;3618450;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49080
Turkey;2013;9283923;2888693;3852256;2497209;80;353;3898021;2888610;83;NA;2497209;NA;NA;NA;NA;NA;NA;45332
Turkey;2014;9857915;2855190;4076629;2882886;101;412;4119839;2855078;112;NA;2882885;1;NA;NA;NA;NA;NA;42697
Turkey;2015;10589337;2927971;4271960;3346024;84;565;4315342;2927720;251;NA;3345951;73;NA;NA;NA;NA;NA;42733
Turkey;2016;11317998;3032139;4439568;3803894;63;643;4481965;3031744;395;NA;3803772;122;NA;NA;NA;NA;NA;41691
Turkey;2017;12035978;3121201;4616781;4256436;61;760;4658341;3120407;794;0;4256305;131;0;0;0;0;0;40739
Turkey;2018;12398190;3093806;4695664;4568900;53;952;4735484;3089626;4180;0;4568665;235;0;0;0;0;0;38815
Kosovo;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kosovo;2013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kosovo;2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kosovo;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kosovo;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kosovo;2017;168759;47989;6;120753;1;4;17;47989;NA;NA;120744;NA;NA;0;3;0;0;3
Kosovo;2018;256880;62225;9;194518;1;15;39;60466;1759;0;194424;64;0;0;9;0;0;5
